subject,accuracy,precision,recall,f1_macro,roc_auc
S2,0.7183098591549296,0.4939271255060729,0.5538847117794486,0.5166666666666667,0.8547717006949836
S3,0.7123287671232876,0.502020202020202,0.5518341307814992,0.5152329749103942,0.9121710934404433
S4,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426,0.7174363762599056
S5,0.9041095890410958,0.9228571428571429,0.8250000000000001,0.843643219040886,0.9714232488822653
S6,0.9178082191780822,0.9287477954144622,0.9294871794871794,0.9244666139076078,0.9934411993235522
S7,0.9452054794520548,0.961038961038961,0.8974358974358975,0.9192963223970976,0.9945198592257416
S8,0.7567567567567568,0.7999999999999999,0.8283166109253065,0.7545219638242893,0.905589382154847
S9,0.8055555555555556,0.52071638599305,0.6349206349206349,0.5704065040650407,0.94475121828063
S10,0.8,0.5583673469387755,0.6356837606837606,0.5932282003710575,0.7042403856129346
S11,0.881578947368421,0.8636363636363636,0.9249999999999999,0.8720321931589536,0.9967439967439967
S13,0.88,0.8723112128146453,0.8111888111888113,0.8346445041801278,0.9630893958952389
S14,0.6533333333333333,0.7436507936507937,0.7487179487179487,0.6620945479641132,0.9278151955571309
S15,0.8,0.7488179669030733,0.693422519509476,0.7091631882329557,0.946391729234179
S16,0.8356164383561644,0.5490196078431372,0.6666666666666666,0.5952380952380952,0.9990892531876138
S17,0.8266666666666667,0.5794444444444444,0.6527777777777778,0.6115792759051186,0.9089984996847743
